Column Name,Description,Source
vc_11,NHDPlusV2 VC flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
vc_12,NHDPlusV2 VC flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
vc_ma,NHDPlusV2 VC flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
ve_01,NHDPlusV2 VE flow/velocity estimate field for month 01; original NHDPlusV2 field name retained.,NHDPlusV2
ve_02,NHDPlusV2 VE flow/velocity estimate field for month 02; original NHDPlusV2 field name retained.,NHDPlusV2
ve_03,NHDPlusV2 VE flow/velocity estimate field for month 03; original NHDPlusV2 field name retained.,NHDPlusV2
ve_04,NHDPlusV2 VE flow/velocity estimate field for month 04; original NHDPlusV2 field name retained.,NHDPlusV2
ve_05,NHDPlusV2 VE flow/velocity estimate field for month 05; original NHDPlusV2 field name retained.,NHDPlusV2
ve_06,NHDPlusV2 VE flow/velocity estimate field for month 06; original NHDPlusV2 field name retained.,NHDPlusV2
ve_07,NHDPlusV2 VE flow/velocity estimate field for month 07; original NHDPlusV2 field name retained.,NHDPlusV2
ve_08,NHDPlusV2 VE flow/velocity estimate field for month 08; original NHDPlusV2 field name retained.,NHDPlusV2
ve_09,NHDPlusV2 VE flow/velocity estimate field for month 09; original NHDPlusV2 field name retained.,NHDPlusV2
ve_10,NHDPlusV2 VE flow/velocity estimate field for month 10; original NHDPlusV2 field name retained.,NHDPlusV2
ve_11,NHDPlusV2 VE flow/velocity estimate field for month 11; original NHDPlusV2 field name retained.,NHDPlusV2
ve_12,NHDPlusV2 VE flow/velocity estimate field for month 12; original NHDPlusV2 field name retained.,NHDPlusV2
ve_ma,NHDPlusV2 VE flow/velocity estimate field for mean annual; original NHDPlusV2 field name retained.,NHDPlusV2
vpuid,NHDPlusV2 vector processing unit identifier.,NHDPlusV2
vpuin,NHDPlusV2 VPU-in attribute.,NHDPlusV2
vpuout,NHDPlusV2 VPU-out attribute.,NHDPlusV2
wbareacomi,"Waterbody area COMID associated with the linked NHDPlusV2 feature, where available.",NHDPlusV2
wbareatype,NHDPlusV2 waterbody area type attribute.,NHDPlusV2
WetIndexWs,Mean Composite Topographic Index (CTI) [Wetness Index] within watershed,StreamCat
WsAreaSqKm,"Watershed area (square km) at NHDPlusV2 stream segment outlet, i.e., at the most downstream location of the vector line segment",StreamCat
WtDepWs,Mean seasonal water table depth (cm) of soils (STATSGO) within watershed,StreamCat
WWTPAllDensWs,Density of all wastewater treatment plants within the upstream watershed.,StreamCat
WWTPMajorDensWs,Density of major wastewater treatment plants within the upstream watershed.,StreamCat
WWTPMinorDensWs,Density of minor wastewater treatment plants within the upstream watershed.,StreamCat
